genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Arvicola,praeceptor,0.781,0.126,7,0,NaN
Arvicola,sapidus,0.781,0.126,4,0,NaN
Arvicola,sp.,2.588,0.012,12,1,0.0011
Arvicola,"sp. 1",0.781,0.126,2,2,0.0376
Arvicola,"sp. 2",0.781,0.126,1,1,0.0526
Arvicola,terrestris,0.781,0.000,18,4,0.0975
Asellia,mariaetheresae,20.430,15.970,1,0,NaN
Asoriculus,castellarini,2.588,0.781,1,0,NaN
Asoriculus,castellarinii,2.588,0.781,1,0,NaN
Asoriculus,gibberodon,8.700,0.781,5,1,0.1294
Asoriculus,sp.,2.588,0.126,3,0,NaN
Astadelphis,gastaldii,5.332,2.588,4,3,0.7937
Asthenoscapter,sp.,23.030,20.430,1,0,NaN
Asthenoscapter,sp.2,22.400,20.000,1,0,NaN
Asthenoscapter,ziegleri,28.400,23.030,1,0,NaN
Atavocricetodon,atavoides,33.900,28.400,1,0,NaN
Atavocricetodon,hugueneyae,33.900,28.400,1,0,NaN
Atavocricetodon,minusculus,33.900,28.400,1,0,NaN
Atavocricetodon,nanoides,33.900,28.400,1,0,NaN
Atavocricetodon,nanus,33.900,28.400,1,0,NaN
Atelerix,depereti,11.100,9.700,1,0,NaN
Atlantoxerus,adroveri,11.608,5.332,9,8,0.0465
Atlantoxerus,rhodius,7.246,4.900,3,1,0.0079
Atlantoxerus,sp.,11.608,5.332,3,0,NaN
Atocetus,sp.,13.650,11.608,1,0,NaN
Aureliachoerus,aurelianense,20.000,16.900,1,0,NaN
Aureliachoerus,aurelianensis,16.900,12.750,10,0,NaN
Avenius,amatorum,55.800,48.600,1,1,1.0000
Axis,nestii,5.332,0.012,1,1,0.1518
Axis,sp.,5.332,0.012,1,1,0.0628
Bachitherium,curtum,33.900,28.400,3,0,NaN
Balaena,affinis,2.588,1.806,1,0,NaN
Balaena,arcuata,11.608,2.588,1,0,NaN
Balaena,dubusi,11.608,2.588,1,0,NaN
Balaena,forsythmajori,5.332,3.600,1,1,0.5000
Balaena,larteti,23.030,2.588,1,0,NaN
Balaena,montolionis,3.600,2.588,2,0,NaN
Balaena,mysticetus,0.01411,0.000,18,11,0.8379
Balaena,sp.,5.332,1.806,8,1,1.0000
Balaenella,brachyrhynus,5.332,3.600,1,1,1.0000
Balaenoptera,minutis,13.650,1.806,9,0,NaN
Balaenoptera,sp.,13.650,0.126,32,3,0.5503
Balaenotus,insignis,5.332,1.806,6,0,NaN
Balaenotus,orcianensis,3.600,2.588,1,0,NaN
Balaenotus,sp.,5.332,2.588,5,1,0.5000
Balaenula,astensis,5.332,2.588,1,1,1.0000
Balaenula,balaenopsis,13.650,1.806,7,0,NaN
Baranogale,adroveri,8.700,5.332,1,0,NaN
Baranogale,antiqua,3.200,1.806,2,1,0.0286
Baranogale,beremendensis,3.200,2.588,3,0,NaN
Baranogale,helbingi,4.900,2.588,5,1,0.1250
Baranogale,sp.,5.332,0.012,1,1,0.0105
Baranomys,kowalskii,4.900,4.200,1,0,NaN
Baranomys,loczyi,3.200,2.588,4,0,NaN
Baranomys,longidens,4.200,3.200,2,0,NaN
Barbastella,barbastella,0.781,0.126,1,0,NaN
Barbastella,barbastellus,0.781,0.126,1,0,NaN
Barbastella,leucomelas,0.781,0.126,1,1,0.0009
Barbastella,schadleri,0.781,0.126,1,0,NaN
Barbatodon,sp.,70.600,65.500,1,1,1.0000
Barbatodon,transylvanicus,70.600,65.500,2,2,1.0000
Basilosaurus,drazindai,40.400,37.200,1,0,NaN
Basilosaurus,sp.,40.400,37.200,1,0,NaN
Basiloterus,hussaini,40.400,37.200,1,1,1.0000
Basilotritus,sp.,40.400,37.200,2,2,1.0000
Basilotritus,uheni,40.400,37.200,2,2,1.0000
Batavipusa,neerlandica,11.608,2.588,3,1,1.0000
Bathmochoffatia,hapax,155.700,150.800,1,1,0.0032
Bedenomeryx,truyolsi,22.400,20.000,1,0,NaN
Belemnoziphius,compressus,3.600,1.806,3,1,1.0000
Beneziphius,brevirostris,11.608,2.588,1,1,1.0000
Berardius,bairdii,0.012,0.000,1,0,NaN
Beremendia,fissidens,3.600,0.126,69,21,0.0276
Beremendia,minor,3.200,2.588,1,0,NaN
Beremendia,sp.,3.200,0.781,2,0,NaN
Bernardodon,atlanticus,161.200,150.800,1,1,0.2025
Bernardodon,sp.,161.200,150.800,1,1,0.0061
Berrulestes,pellouini,58.700,55.800,3,0,NaN
Berrulestes,phelizoni,58.700,55.800,4,0,NaN
Berrulestes,poirieri,58.700,55.800,3,0,NaN
Berrulestes,"sp. 1",58.700,55.800,1,0,NaN
Berruvius,lasseroni,58.700,55.800,3,0,NaN
Bison,caballus,0.126,0.000,1,0,NaN
Bison,priscus,2.588,0.012,23,2,1.0000
Bison,schoetensacki,2.588,0.126,24,5,0.2291
Bison,sp.,5.332,0.012,33,2,0.0590
Bison,voigtstedtensis,2.588,0.012,2,1,0.2511
Blackia,micoenica,13.650,12.750,1,0,NaN
Blackia,miocaenica,28.400,7.750,24,1,0.0053
Blackia,polonica,4.900,2.588,4,0,NaN
